,Country,combined figures,Household estimate,Household estimate.1,Retail estimate,Retail estimate.1,Food service estimate,Food service estimate.1
0,Afghanistan,126,82,"3,109,153",16,"594,982",28,"1,051,783"
1,Albania,127,83,"238,492",16,"45,058",28,"79,651"
2,Algeria,135,91,"3,918,529",16,"673,360",28,"1,190,335"
3,Andorra,123,84,"6,497",13,988,26,"1,971"
4,Angola,144,100,"3,169,523",16,"497,755",28,"879,908"
5,Antigua and Barbuda,113,74,"7,178",13,"1,244",26,"2,483"
6,Argentina,116,72,"3,243,563",16,"700,380",28,"1,238,100"
7,Armenia,137,93,"275,195",16,"46,259",28,"81,775"
8,Aruba,113,74,"7,858",13,"1,362",26,"2,718"
9,Australia,133,102,"2,563,110",9,"238,248",22,"546,340"
10,Austria,76,39,"349,249",9,"77,289",28,"254,191"
11,Azerbaijan,137,93,"934,872",16,"157,148",28,"277,800"
12,Bahamas,113,74,"28,792",13,"4,990",26,"9,960"
13,Bahrain,171,132,"216,161",13,"21,026",26,"41,966"
14,Bangladesh,84,65,"10,618,233",16,"2,550,080",3,"544,436"
15,Barbados,113,74,"21,215",13,"3,677",26,"7,339"
16,Belarus,112,68,"646,356",16,"147,838",28,"261,341"
17,Belgium,80,50,"576,036",10,"112,100",20,"227,371"
18,Belize,97,53,"20,564",16,"6,106",28,"10,794"
19,Benin,144,100,"1,175,297",16,"184,573",28,"326,280"
20,Bermuda,113,74,"4,606",13,801,26,"1,598"
21,Bhutan,123,79,"60,000",16,"11,935",28,"21,098"
22,Bolivia (Plurin. State of),124,80,"922,012",16,"180,068",28,"318,315"
23,Bosnia and Herzegovina,127,83,"273,269",16,"51,628",28,"91,266"
24,Botswana,136,92,"211,802",16,"36,030",28,"63,693"
25,Brazil,104,60,"12,578,308",16,"3,300,862",28,"5,835,112"
26,British Virgin Islands,113,74,"2,218",13,384,26,767
27,Brunei Darussalam,119,80,"34,739",13,"5,551",26,"11,080"
28,Bulgaria,112,68,"478,667",16,"109,483",28,"193,539"
29,Burkina Faso,147,103,"2,086,893",16,"317,831",28,"561,848"
30,Burundi,147,103,"1,184,127",16,"180,341",28,"318,799"
31,Cabo Verde,144,100,"54,765",16,"8,601",28,"15,204"
32,Cambodia,130,86,"1,423,397",16,"257,853",28,"455,820"
33,Cameroon,144,100,"2,577,064",16,"404,713",28,"715,433"
34,Canada,118,79,"2,938,321",13,"479,284",26,"956,615"
35,Cayman Islands,113,74,"4,797",13,831,26,"1,660"
36,Central African Republic,147,103,"487,305",16,"74,216",28,"131,196"
37,Chad,147,103,"1,637,656",16,"249,413",28,"440,901"
38,Chile,113,74,"1,400,946",13,"242,800",26,"484,611"
39,China,126,64,"91,646,213",16,"22,424,705",46,"65,377,741"
40,"China, Hong Kong SAR",110,71,"530,985",13,"95,267",26,"190,147"
41,"China, Macao SAR",110,71,"45,728",13,"8,204",26,"16,375"
42,Colombia,114,70,"3,545,499",16,"787,320",28,"1,391,787"
43,Comoros,144,100,"84,742",16,"13,308",28,"23,526"
44,Congo,144,100,"535,851",16,"84,152",28,"148,760"
45,Costa Rica,116,72,"365,609",16,"78,946",28,"139,556"
46,Côte d’Ivoire,144,100,"2,561,140",16,"402,212",28,"711,012"
47,Croatia,123,84,"348,070",13,"52,915",26,"105,613"
48,Cuba,116,72,"820,910",16,"177,259",28,"313,349"
49,Curaçao,113,74,"12,079",13,"2,093",26,"4,178"
50,Cyprus,134,95,"113,306",13,"15,356",26,"30,649"
51,Czechia,109,70,"746,840",13,"136,943",26,"273,327"
52,Dem. People's Rep. Korea,125,81,"2,070,528",16,"401,425",28,"709,621"
53,Dem. Rep. of the Congo,147,103,"8,912,903",16,"1,357,425",28,"2,399,593"
54,Denmark,132,81,"469,449",30,"172,003",21,"119,134"
