,country,red meat
0,Afghanistan,8.26
1,Albania,29.63
2,Algeria,12.86
3,Angola,11.93
4,Antigua and Barbuda,16.14
5,Argentina,72.27
6,Armenia,27.53
7,Australia,64.36
8,Austria,68.08
9,Azerbaijan,20.91
10,Bahamas,34.71
11,Bangladesh,2.7
12,Barbados,24.66
13,Belarus,55.18
14,Belgium,43.2
15,Belize,23.45
16,Benin,5.72
17,Bolivia (Plurinational State of),37.65
18,Bosnia and Herzegovina,23.11
19,Botswana,21.15
20,Brazil,52.26
21,Bulgaria,37.53
22,Burkina Faso,10.81
23,Cabo Verde,14.63
24,Cambodia,9.69
25,Cameroon,8.92
26,Canada,51.3
27,Central African Republic,33.16
28,Chad,10.88
29,Chile,50.67
30,China,48.06
31,"China, Hong Kong SAR",84.62
32,"China, Macao SAR",69.86
33,"China, Taiwan Province of",45.45
34,Colombia,26.79
35,Congo,13.92
36,Costa Rica,25.2
37,Côte d'Ivoire,8.5
38,Croatia,67.43
39,Cuba,32.23
40,Cyprus,51.57
41,Czechia,61.4
42,Democratic People's Republic of Korea,11.75
43,Denmark,52.43
44,Djibouti,12.65
45,Dominica,19.19
46,Dominican Republic,18.24
47,Ecuador,27.52
48,Egypt,13.38
49,El Salvador,11.01
50,Estonia,47.0
51,Eswatini,19.72
52,Ethiopia,6.39
53,Fiji,15.67
54,Finland,58.72
55,France,55.99
56,French Polynesia,42.57
57,Gabon,27.41
58,Gambia,4.68
59,Georgia,17.48
60,Germany,60.6
61,Ghana,6.2
62,Greece,53.2
63,Grenada,13.68
64,Guatemala,16.42
65,Guinea,10.39
66,Guinea-Bissau,13.84
67,Guyana,6.91
68,Haiti,9.09
69,Honduras,11.57
70,Hungary,58.48
71,Iceland,60.53
72,India,1.79
73,Indonesia,4.51
74,Iran (Islamic Republic of),9.9
75,Iraq,4.73
76,Ireland,53.48
77,Israel,30.55
78,Italy,62.8
79,Jamaica,8.46
80,Japan,31.29
81,Jordan,9.58
82,Kazakhstan,46.59
83,Kenya,14.96
84,Kiribati,13.4
85,Kuwait,22.1
86,Kyrgyzstan,26.93
87,Lao People's Democratic Republic,18.31
88,Latvia,50.24
89,Lebanon,12.16
90,Lesotho,20.77
91,Liberia,7.36
92,Lithuania,54.66
93,Luxembourg,62.7
94,Madagascar,10.24
95,Malawi,9.34
96,Malaysia,14.75
97,Maldives,8.41
98,Mali,18.34
99,Malta,51.3
100,Mauritania,25.92
101,Mauritius,13.18
102,Mexico,34.8
103,Mongolia,82.04
104,Montenegro,61.44
105,Morocco,13.92
106,Mozambique,5.84
107,Myanmar,18.88
108,Namibia,21.2
109,Nepal,11.92
110,Netherlands,56.07
111,New Caledonia,36.62
112,New Zealand,64.27
113,Nicaragua,7.24
114,Niger,7.56
115,Nigeria,6.43
116,North Macedonia,18.9
117,Norway,47.1
118,Oman,21.55
119,Pakistan,11.29
120,Panama,31.18
121,Papua New Guinea,60.3
122,Paraguay,30.92
123,Peru,11.0
124,Philippines,24.21
125,Poland,58.02
126,Portugal,63.04
127,Republic of Korea,54.16
128,Republic of Moldova,20.54
129,Romania,45.52
130,Russian Federation,44.37
131,Rwanda,6.47
132,Saint Kitts and Nevis,25.65
133,Saint Lucia,31.58
134,Saint Vincent and the Grenadines,22.44
135,Samoa,31.46
136,Sao Tome and Principe,5.66
137,Saudi Arabia,10.45
138,Senegal,10.53
139,Serbia,44.5
140,Sierra Leone,4.6
141,Slovakia,43.21
142,Slovenia,45.5
143,Solomon Islands,7.15
144,South Africa,25.52
145,Spain,68.32
146,Sri Lanka,1.36
147,Sudan,19.55
148,Suriname,10.71
149,Sweden,56.28
150,Switzerland,49.58
151,Tajikistan,10.6
152,Thailand,15.62
153,Timor-Leste,28.56
154,Togo,4.88
155,Trinidad and Tobago,13.61
156,Tunisia,11.05
157,Turkey,18.62
158,Turkmenistan,49.51
159,Uganda,10.31
160,Ukraine,24.76
161,United Arab Emirates,25.12
162,United Kingdom of Great Britain and Northern Ireland,47.04
163,United Republic of Tanzania,9.28
164,United States of America,66.5
165,Uruguay,43.93
166,Uzbekistan,34.1
167,Vanuatu,27.19
168,Venezuela (Bolivarian Republic of),20.61
169,Viet Nam,49.27
170,Yemen,8.62
171,Zambia,15.51
172,Zimbabwe,13.59
